generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
127,350,0.00013391145104563773,0.00015627754068886146,0.0001518525505006296,4.647225251078004e-06
128,342,0.00013391145104563773,0.00015627754068886146,0.00015215667905624214,4.5290885899296944e-06
129,354,0.00013347099566231505,0.00015627754068886146,0.00015187014453955399,5.127278949011637e-06
130,345,0.00013347099566231505,0.00015627754068886146,0.00015145145167489753,5.439575773484904e-06
131,350,0.00013391145104563773,0.00015627754068886146,0.00015141500729331123,5.4789489253787725e-06
132,337,0.00013391145104563773,0.00015627754068886146,0.00015121174164442973,5.651890690935665e-06
133,339,0.00013400552662766146,0.00015627754068886146,0.0001513316498302669,5.4931710356020035e-06
134,347,0.00013066807896609545,0.00015627754068886146,0.0001514969275422135,5.321660924556462e-06
135,346,0.00013066807896609545,0.00015627754068886146,0.00015174242239728293,5.225320691855186e-06
136,341,0.0001349472665921979,0.00015627754068886146,0.00015162788812291464,5.050840000057831e-06
137,328,0.0001349472665921979,0.00015627754068886146,0.00015198441312084642,4.782591651730428e-06
138,354,0.0001349472665921979,0.00015627754068886146,0.00015204617348975867,4.903730078414302e-06
139,354,0.0001349472665921979,0.00015627754068886146,0.00015212006752994076,4.865556472891254e-06
140,338,0.00013659479440124867,0.00015627754068886146,0.00015199849088337093,4.9354690714144004e-06
141,353,0.00013659479440124867,0.00015627754068886146,0.00015221963063495432,4.717901795768515e-06
142,356,0.00013659479440124867,0.00015627754068886146,0.00015179296200690156,4.929474592250434e-06
143,336,0.00013659479440124867,0.00015627754068886146,0.00015203725911863965,4.682151280106764e-06
144,344,0.00013323124884405386,0.00015627754068886146,0.00015182981212521056,4.9401441601925895e-06
145,332,0.00013641308069651576,0.00015627754068886146,0.0001520753625502672,4.632371479625657e-06
146,344,0.00013641308069651576,0.00015627754068886146,0.00015216972481763745,4.392060124713578e-06
147,333,0.00013641308069651576,0.0001576593007214556,0.00015196531318411422,4.371318256712643e-06
148,326,0.00013659479440124867,0.0001576593007214556,0.0001519942514626564,4.411471710537114e-06
149,329,0.00013659479440124867,0.0001576593007214556,0.00015221617441893082,4.3620376816533696e-06
150,359,0.00013662838308226596,0.0001576593007214556,0.0001519631588955794,4.5461594414802155e-06
151,328,0.00013479813928562488,0.0001576593007214556,0.00015184134393371557,4.657017748601772e-06
152,365,0.00013479813928562488,0.00015627754068886146,0.0001519922284860644,4.5968858887554454e-06
153,359,0.0001349472665921979,0.00015627754068886146,0.00015225437453593273,4.423339542125741e-06
154,350,0.0001349472665921979,0.00015627754068886146,0.00015228707887620754,4.422580418872346e-06
155,333,0.0001349472665921979,0.00015627754068886146,0.00015244059329333248,4.347019729565567e-06
156,344,0.00013662838308226596,0.00015627754068886146,0.00015270029481967963,4.024058846822411e-06
157,338,0.00013662838308226596,0.00015627754068886146,0.00015268201297320754,3.973853606946815e-06
158,344,0.00013662838308226596,0.00015627754068886146,0.0001524190378581719,4.1640764365235936e-06
159,355,0.00013662838308226596,0.00015627754068886146,0.00015234872543548318,4.210507698268761e-06
160,354,0.0001349472665921979,0.00015627754068886146,0.00015211742653554276,4.551175967913099e-06
161,350,0.00013400552662766146,0.00015627754068886146,0.00015198424766626445,4.654827617151165e-06
162,343,0.00013400552662766146,0.00015627754068886146,0.0001519574185968322,4.690033690657032e-06
163,343,0.00013320714375063592,0.00015627754068886146,0.0001522017650917756,4.644419793796308e-06
164,338,0.00013400552662766146,0.00015627754068886146,0.0001520101956606079,4.790525336746821e-06
165,332,0.00013400552662766146,0.00015627754068886146,0.00015182140266850272,4.846795960522461e-06
166,342,0.0001349472665921979,0.00015627754068886146,0.0001522161912431281,4.594814585501896e-06
167,354,0.0001349472665921979,0.00015627754068886146,0.00015232898585541615,4.372701084653605e-06
168,343,0.0001349472665921979,0.00015627754068886146,0.00015204365238660346,4.92744762823903e-06
169,340,0.00013320714375063592,0.0001565216111083843,0.00015179968640945986,5.000888176616101e-06
170,349,0.00013320714375063592,0.0001565216111083843,0.0001518919314536385,5.0624356867049145e-06
171,321,0.0001349472665921979,0.0001565216111083843,0.00015194653757219284,4.756909606180607e-06
172,344,0.0001349472665921979,0.0001565216111083843,0.00015175713639778562,5.182594882699083e-06
173,335,0.0001349472665921979,0.0001565216111083843,0.00015189135429736632,5.16434843155504e-06
174,354,0.0001349472665921979,0.0001565216111083843,0.00015139414590306213,5.516258056080769e-06
175,344,0.0001349472665921979,0.0001565216111083843,0.00015126941031719362,5.758052496626442e-06
176,338,0.0001349472665921979,0.0001565216111083843,0.00015137117961380335,5.618888505182158e-06
177,321,0.0001349472665921979,0.0001565216111083843,0.00015196036474211658,5.360437947373853e-06
178,347,0.0001349472665921979,0.0001565216111083843,0.00015226834633080068,4.922576861397143e-06
179,345,0.00013204505753527807,0.0001565216111083843,0.00015216610804913905,4.84908302667602e-06
180,359,0.00013204505753527807,0.0001565216111083843,0.00015166992672353943,5.1661171334904284e-06
181,338,0.00013204505753527807,0.0001565216111083843,0.00015153156478485153,5.445131504300692e-06
182,352,0.00013204505753527807,0.0001565216111083843,0.00015181831712301469,5.350310677898955e-06
183,330,0.00013204505753527807,0.0001565216111083843,0.00015194158810289212,5.187976446709654e-06
184,334,0.0001349472665921979,0.0001565216111083843,0.00015213950342005952,4.904056124574522e-06
185,357,0.00013359386410168145,0.0001565216111083843,0.0001525061642180951,4.536964810785042e-06
186,354,0.0001352101159170588,0.0001565216111083843,0.0001526255250701838,3.8086954862816897e-06
187,344,0.0001343194678468979,0.0001565216111083843,0.00015283561635858554,3.7902380050216415e-06
188,354,0.0001343194678468979,0.0001565216111083843,0.00015290654804101862,3.8876833501477895e-06
189,341,0.0001343194678468979,0.0001565216111083843,0.00015269513340746704,4.294132708908137e-06
190,355,0.00013400552662766146,0.00015701560430306217,0.00015290540415270132,4.066272648832525e-06
191,347,0.00013400552662766146,0.00015701560430306217,0.0001533060566689764,3.6939649901062768e-06
192,340,0.00013400552662766146,0.00015701560430306217,0.00015313223944975885,3.6753042793806788e-06
193,360,0.00013400552662766146,0.0001565216111083843,0.0001530612634164831,3.763897485471723e-06
194,347,0.00013400552662766146,0.0001565216111083843,0.00015279597764972753,3.982412044069011e-06
195,313,0.00013400552662766146,0.0001576593007214556,0.0001526305586143402,4.4277620220214755e-06
196,361,0.00013606647527622138,0.0001576593007214556,0.0001527080213402408,4.3400922260590735e-06
197,331,0.00013606647527622138,0.0001576593007214556,0.00015251123553020504,4.6132887478679465e-06
198,345,0.00013606647527622138,0.0001576593007214556,0.0001525744335541591,4.579145940150477e-06
199,326,0.00013606647527622138,0.0001576593007214556,0.0001525791561328589,4.6596176793479625e-06
200,344,0.00013606647527622138,0.0001576593007214556,0.0001525445485923933,4.8567207113608825e-06
201,336,0.00013606647527622138,0.0001559696666813937,0.00015307948726245283,4.007534619241309e-06
202,340,0.00013606647527622138,0.0001559696666813937,0.0001527313014755711,4.350577681223633e-06
